Architects of Will,ARB,この魔道士たちの秘密結社は、他人の信念や意見を操作している。,
Aven Mimeomancer,ARB,「空にしか逃げ場が無いようなら、皆に羽根を与えよう。」,
Bant Sojourners,ARB,「我々を影が覆う前に、バントの光を広めなければいけません。」,
Bant Sureblade,ARB,グリクシスで戦うこととなった兵士は、まず攻撃し、その後にアーシャへの祈りを唱えることを学んだ。,
Behemoth Sledge,ARB,偉大なるガルガンチュアンを崇拝する者が、薄っぺらな武器で戦うと考えるのは無理がある。,
Blitz Hellion,ARB,アラーラ人はその登場を、「大断裂日」や「イルソン門崩壊日」のように名のついた新た祝日として記念することにした。,
Brainbite,ARB,エスパーの魔道士は、手術のような正確さで記憶に穴を空ける。 グリクシスの魔道士には、そこまで親切にするいわれが無い。,
Breath of Malfegor,ARB,悪魔の鼓動は高鳴った。彼らの君主が戦場にそびえ立ったのだ。 天使の鼓動も高鳴った。数千年前に始まった戦争をついに終わらせるチャンスが来たのだ。,
Cerodon Yearling,ARB,セロドンの成長を測る単位は、「何人食ったか」だ。,
Cloven Casting,ARB,「密林に逃げよう。 街はもう安全じゃない――それに、戦いながら退いてもだめな気がするんだ。」,
Colossal Might,ARB,"「蛮人を追い詰めるな。 お前が最も容易い逃げ道になる。」
――サルカン・ヴォル",
Dauntless Escort,ARB,エルズペスの従者は昇進を求めない。 彼らにとって、勇者に仕えることの名誉を上回る騎士の栄光など存在しないのだ。,
Deadshot Minotaur,ARB,「地が立ち上がり、お前に見えんことを。」,
Defiler of Souls,ARB,"「罪に迷い込むこと無かれ。飽くこと無き墓所の門衛とまみえること望まざれば。」
――アーシャへの祈り",
Demonspine Whip,ARB,背骨で奴隷の背中を殴りつけるのは、グリクシス流の皮肉らしい。,
Double Negative,ARB,彼らは互いの違いに恐れを抱いたが、その一方で自分達の相似性に決定的な恐怖を感じていた。,
Dragon Appeasement,ARB,"「あそこを見ろよ――誰かを輿に乗せて運んでるぞ。 指揮官なんだろう。 いや……ああ！ これは違うわ。」
――エイヴンの斥候、ケーダ",
Drastic Revelation,ARB,あらゆる災害には謎がある。正気を保った目撃者がいないためだ。,
Enlisted Wurm,ARB,あらゆる軍隊と対等に戦う――味方とでも。,
Esper Sojourners,ARB,国境地帯が荒れているほど、それを操る者の手がより必要になる。,
Esper Stormblade,ARB,嵐呼びは、ジャンドの火山の上昇気流の贈り物に感謝を捧げに現れた。,
Ethercaste Knight,ARB,「我々は日々身体を鋼で固めている。 理屈からいけば次はエーテリウムだろう？」,
Etherium Abomination,ARB,それは切り殺された百人のエスパー人のエーテリウムから生命を得ている。,
Ethersworn Shieldmage,ARB,「わかったか、金属の子よ？ お前の身体はすでに傷など受けぬのだ。 われらの道筋を進めば、お前も完全なる者となれよう。」,
Etherwrought Page,ARB,綴じられざる紙片には表紙も文脈にも縛られぬ謎がある。覇者の印として望ましいものだ。,
Fight to the Death,ARB,戦場に静寂が訪れるとき、休戦によるものであることはめったにない。,
Filigree Angel,ARB,「私は天啓を渇望し、クルーシウスのエーテリウムはその私の目を開いてくれた。 私に見えるものをお前にも分け与えよう。ただ、そのためにまず信じねばならない。」,
