Architects of Will,ARB,Cette société secrète de mages manipule les croyances et les opinions d’autrui.,
Aven Mimeomancer,ARB,"« Si les cieux sont notre seul refuge, je m’assurerai que nous prenions tous notre essor. »",
Bant Sojourners,ARB,« Nous devons répandre la lumière de Bant avant d’être rattrapés par les ombres. »,
Bant Sureblade,ARB,Les soldats qui combattirent sur Grixis apprirent à frapper d’abord et à prier Asha ensuite.,
Behemoth Sledge,ARB,On ne pouvait pas s’attendre à ce que les adorateurs des grands gargantuesques utilisent une arme subtile.,
Blitz Hellion,ARB,Les Alaréens commémoraient ses apparitions avec des fêtes portant des noms tels que le Grand cataclysme ou la Chute de la Porte d’Ilson.,
Brainbite,ARB,Un mage d’Esper incisera votre mémoire avec une précision chirurgicale. Un mage de Grixis ne voit aucune raison d’être aussi délicat.,
Breath of Malfegor,ARB,Le sang des démons bouillonna quand leur maître s’éleva au-dessus du champ de bataille. Le sang des anges se mit aussi à bouillonner : ils avaient enfin l’occasion de mettre fin à cette guerre commencée des millénaires plus tôt.,
Cerodon Yearling,ARB,L’unité de mesure utilisée pour suivre la croissance d’un cérodon est « nombre de personnes dévorées ».,
Cloven Casting,ARB,« Fuyons au plus profond de la jungle. Notre cité n’est plus sûre — et je soupçonne que le refuge ne l’est pas plus. »,
Colossal Might,ARB,"« N’acculez jamais un barbare. Vous ne pourriez lui résister. »
—Sarkhan Vol",
Dauntless Escort,ARB,"Les écuyers d’Elspeth ne cherchent pas l’avancement. Pour eux, nulle gloire ne saurait surpasser celle de servir leur champion.",
Deadshot Minotaur,ARB,« Que la terre se dresse pour venir à ta rencontre. »,
Defiler of Souls,ARB,"« Ne cédez pas au péché, ou vous affronteriez le gardien d’une tombe insatiable. »
—Prière d’Asha",
Demonspine Whip,ARB,Utiliser une épine dorsale pour briser le dos d’un esclave est une ironie bien grixienne.,
Double Negative,ARB,"Ils se craignaient l’un de l’autre à cause de leurs différences, mais étaient absolument terrifiés par leur similitudes.",
Dragon Appeasement,ARB,"« Regardez — ils transportent celui-ci sur une chaise à porteurs. Ce doit être leur chef. Attendez ... Oh ! Peut-être pas, en fait. »
—Kaéda, éclaireur avemain",
Drastic Revelation,ARB,"Sans témoins qui soient encore sain d’esprit, chaque désastre garde une part de mystère.",
Enlisted Wurm,ARB,Du fil à retordre pour toute armée — même la sienne.,
Esper Sojourners,ARB,"Plus la frontière est sauvage, plus elle requiert de force pour être contrôlée.",
