Aggravate,AVR,"“야만인들! 내가 제일 좋아하는 의자를 불태우다니! 다 죽여버리겠다!”
—안지 팔켄라스",
Alchemist's Apprentice,AVR,"악취, 뜨거운 증기, 사용자의 갑작스런 증발 등의 부작용이 있을 수 있습니다.",
Alchemist's Refuge,AVR,핍박을 받은 연금술사들은 케시그의 숲으로 도망쳐 그들의 작업을 계속했다.,
Amass the Components,AVR,“도롱뇽 침을 언젠가 쓰게 될 줄 알았지!”,
Angel of Glory's Rise,AVR,“언데드가 사라져야지만 정의가 실현되는 것이다.”,
Angel of Jubilation,AVR,"“이니스트라드에서 악을 뿌리뽑지는 못했지만, 마침내 기뻐할 이유가 생겼도다.”",
Angelic Armaments,AVR,이 무기는 암흑기에도 꺼지지 않았던 불꽃으로 제련되었다.,
Angelic Wall,AVR,“천사가 날갯짓을 하듯 바람이 일자 적들은 추풍낙엽처럼 흩어졌다.” —항해사 이카로프의 이야기,
Angel's Mercy,AVR,"“네 두려움을 이해하고, 네 의구심에 동정을 느낀다. 내가 이 두 가지 죄를 사해주마.”",
Angel's Tomb,AVR,"“믿음은 돌에도 생명을 불어넣는다.”
—미케이우스의 저서",
Appetite for Brains,AVR,복숭아처럼 첫 한 입이 가장 맛있는 법이다.,
Arcane Melee,AVR,마법사들 간의 논쟁이 말로만 끝나는 경우는 없다.,
Archangel,AVR,갑옷을 입은 치품천사들의 외침이 하늘을 가득 메우자 어둠이 잠시 물러났다.,
Archwing Dragon,AVR,천사보다 빠르고 악마보다 잔혹하며 악귀보다 끈질기다.,
"Avacyn, Angel of Hope",AVR,"금색 빛줄기가 나선을 그리며 헬볼트에서 하늘로 솟아올랐다. 우레와 같은 폭발과 함께 헬볼트가 파괴되었고, 마침내 감옥에서 풀려난 아바신이 힘차게 비상했다.",
Banners Raised,AVR,"헬볼트가 파괴된 이후, 두려움에 떨던 폭도들은 두려움을 모르는 군대가 되었다.",
Barter in Blood,AVR,"“이니스트라드를 위해서라면 누구나 희생을 감수해야 한다.”
—소린 마르코프",
Battle Hymn,AVR,"“교회는 나무와 벽으로 만든 건물일 뿐이야. 교회의 본질은 천사를 칭송하는 신자들이지.”
—갓스타프의 장로 콜만",
Bladed Bracers,AVR,헬볼트의 파편으로 만들어졌다.,
Blood Artist,AVR,“위대한 희생 없이는 위대한 예술도 없다.”,
Bloodflow Connoisseur,AVR,"“살기 위해서가 아니라 허영심과 쾌락을 채우기 위해 살상을 한다고? 이런 퇴폐함이야말로 내가 없애고자 하는 것이다.”
—소린 마르코프",
Bone Splinters,AVR,"“무거운 대퇴골로 내리쳐줄까, 미끈하고 날카로운 하박골로 찔러줄까? 뭐가 좋을까...”
—미쳐버린 기샤",
Borderland Ranger,AVR,“케시그에서 스텐시아로 가는 길은 하나뿐이라고 알고 있지? 나를 따라오면 다른 길을 보여주겠다.”,
Bower Passage,AVR,암흑기에 아바신을 부정한 사람들이 있었다. 이제 그런 자들에게 남은 피난처는 케시그밖에 없다.,
Builder's Blessing,AVR,"“회반죽에 신성한 보호 주문을 사용하지 않으면 길거리가 피로 물들 것이야.”
—트레이벤의 석공 바드바르",
Butcher Ghoul,AVR,"생각이 없으니 죽음을 두려워하지 않고, 영혼이 없으니 살상을 꺼리지 않는다.",
Call to Serve,AVR,은총은 보상이 아니라 선물이다.,
Captain of the Mists,AVR,"“난 단순한 배의 선장이 아니야. 북풍이 내 선원이며, 파도가 내 일등 항해사지.”",
Cathars' Crusade,AVR,아바신에게 역경이 닥쳤을 때도 그녀의 성전사들은 희망을 잃지 않았다. 이제 그들은 이니스트라드에 그 희망을 전파할 것이다.,
Cathedral Sanctifier,AVR,“악은 곧 사라질 것이다. 이제 이니스트라드에 제일 필요한 것은 치유다.”,
Cloudshift,AVR,"“먹구름마저 아바신을 경배하며 고개를 숙이는구나.”
—장로 림하이트",
Commander's Authority,AVR,“아바신의 상징은 굳센 신념과 정직함을 기리는 것이다. 명예롭게 차고 다니거라.”,
Conjurer's Closet,AVR,"“내일은 어제의 얼굴이다.”
—수수께끼의 코르델",
Corpse Traders,AVR,죽은 자는 불평하지 않는다.,
Craterhoof Behemoth,AVR,그것이 남긴 발자국은 시간이 흘러 호수가 된다.,
Crippling Chill,AVR,"한 번만 들이마셔도 피가 얼어붙으며, 뛰던 심장은 그대로 멈춰버린다.",
Crypt Creeper,AVR,"“옛말이 틀린 게 없어. 버텨내기만 하면 더 강해진다지? 죽지 않고 버티면 하다못해 더 이상하게라도 변하는군.”
—에버하트 선장",
Cursebreak,AVR,시그룬은 더이상 부랑자가 아니었으며 누구도 그녀에게 손가락질을 하거나 욕설을 뱉지 않았다. 드디어 자유의 몸이 된 것이었다.,
Dangerous Wager,AVR,"“이봐 친구, 손가락 마디뼈 한 번 던져보라고. 어차피 잃을 것도 없잖아?”
—에르드왈의 상인 토비아스",
Dark Impostor,AVR,"“아, 이것 참 좋은 삶이군. 당신이 왜 그렇게 지키려고 발악했는지 알 것 같아.”",
