Architects of Will,ARB,Это тайное общество магов управляет мыслями и убеждениями других.,
Aven Mimeomancer,ARB,"«Если небеса — наш единственный приют, то я непременно увижу тот день, когда мы все полетим».",
Bant Sojourners,ARB,"«Мы должны распространить свет Бэнта, чтобы нас не затмили».",
Bant Sureblade,ARB,"Солдаты, прошедшие через Гриксис, поняли, что сначала нужно нанести удар, а потом уже читать молитву Аши.",
Behemoth Sledge,ARB,Почитателей этих гигантских существ вряд ли можно представить с более утонченным оружием в руках.,
Blitz Hellion,ARB,"В честь его появлений аларцы ввели новые праздники, назвав их «Великим переломом» и «Крушением Ильсоновских врат».",
Brainbite,ARB,Эсперский маг удалит вам память с хирургической точностью. А вот маг из Гриксиса не будет с вами церемониться.,
Breath of Malfegor,ARB,"Кровь демонов закипела, когда их хозяин поднялся над полем боя. Но и кровь ангелов не застыла: это был их шанс положить конец начавшейся тысячелетия назад войне.",
Cerodon Yearling,ARB,Единицей измерения возраста рогозуба является количество поглощенных им людей.,
Cloven Casting,ARB,"«Нам нужно бежать глубоко в джунгли. Оставаться в городе уже небезопасно, да и новое убежище у меня не вызывает доверия...».",
Colossal Might,ARB,"«Никогда не загоняйте варвара в тупик. Иначе он может пройти по вам, как по пути наименьшего сопротивления».
— Сархан Воль",
Dauntless Escort,ARB,Оруженосцы Элспет не стремятся к продвижению. Для них никакая рыцарская слава не сравнится со славой служения их кумиру.,
Deadshot Minotaur,ARB,«Пусть земля поднимется и встретит тебя».,
Defiler of Souls,ARB,"«Не сбивайтесь с пути истинного, если не хотите попасть в руки привратника всепожирающей гробницы».
—Молитва Аши",
Demonspine Whip,ARB,Ломать хребты рабов хребтом — хорошая шутка для выходцев из Гриксиса.,
Double Negative,ARB,"Они страшились своих различий, но сходства пугали их еще больше.",
Dragon Appeasement,ARB,"«Посмотри! Они несут того в паланкине. Должно быть, он их предводитель. Хотя... постой! Может и нет».
—Кэида, крылатый разведчик",
Drastic Revelation,ARB,"Причины катастроф редко ясны до конца, ведь ясномыслящих очевидцев не остается.",
Enlisted Wurm,ARB,"Находка для любой армии, даже своей собственной.",
Esper Sojourners,ARB,"Чем неосвоеннее территория, тем она нуждается в твердой руке.",
Esper Stormblade,ARB,Буревестники оценили новое для них явление вулканических восходящих потоков на Джанде.,
Ethercaste Knight,ARB,«Каждый день мы покрываем себя сталью. И эфирий — лишь следующая неизбежная ступень».,
Etherium Abomination,ARB,Он получил жизнь благодаря эфирию сотни убитых эсперцев.,
Ethersworn Shieldmage,ARB,"«Дети металла, вы видите? Ваши тела становятся неуязвимыми. Последуйте за нами, и совершенство будет в ваших руках».",
Etherwrought Page,ARB,"Непереплетенная страница, без обложки и контекста — загадка — любимый сувенир гегемона.",
Fight to the Death,ARB,Шум битвы редко затихает из-за перемирия.,
Filigree Angel,ARB,"«Я жаждала прозреть и эфирий Крусиуса открыл мне глаза. Я могу поделиться своим зрением, но только если в вас есть вера».",
Flurry of Wings,ARB,«Мы — прирожденные солдаты. Призыв к бою для нас равносилен возвращению на родину».,
Giant Ambush Beetle,ARB,"Поджидая жертву, он застывает. И если бы его время от времени не видели лакомящимся жертвами, то можно было бы подумать, что он не живой.",
Glory of Warfare,ARB,«О наши щиты разбились их надежды! Нашими мечами зарублена их победа!»,
Gloryscale Viashino,ARB,"«Это новый мир и новая война. Нам нужны воины, которые имеют представление о хаосе и о том, как с ним сражаться».
— Лиша Лазурная",
Godtracker of Jund,ARB,"«Пока чудища спокойно пасутся, как коровы, драконы свирепствуют и покоряют. Я уже понял чей путь мне ближе».",
Gorger Wurm,ARB,"В раздираемой войнами Аларе иногда получается так, что пищевод вурма оказывается самым безопасным местом.",
Grizzled Leotau,ARB,"«Даже леотау известно, что естественная смерть не приносит славы. Как только зима закрадывается к ним под шкуры, они отправляются на поиски самых беспощадных земель, чтобы умереть так, как они жили».
—Эарсиль Благословенная",
Identity Crisis,ARB,"«Чтобы вступить в наши ряды, нужно быть безупречным. Чтобы быть безупречным, нужно быть окрещенным эфирием. Чтобы пройти крещение, нужно забыть себя».
— молитва Эфироблюстителей",
Illusory Demon,ARB,В Мальстреме игра света может полакомиться человеческой плотью.,
Intimidation Bolt,ARB,"Еще долгое время после случившегося единственное, что они помнили — это страшный, кричащий силуэт их господина.",
"Jenara, Asura of War",ARB,Раненные солдаты взирали на нее с благодарностью за ее появление. Но она оставила их без внимания — ее взгляд был прикован к их врагу.,
Jund Hackblade,ARB,"Рыцари еще только готовились к бою, когда поняли, что эта подлая бестия и не собирается их ждать.",
Knight of New Alara,ARB,"«Я принимаю Алару всю, и Гриксис мне дорог также, как и Бэнт. И пусть моя прежняя родина сочтет меня предателем. Я это делаю не для почестей, а потому, что так правильно».",
Knotvine Paladin,ARB,"«Он принадлежит к новому поколению стражей. К тому, что впитало в себя лучшее из обоих миров — и его, и нашего».
— Майел, Святая Анима",
Lavalanche,ARB,Горящая кровь Алары не может удерживаться только землей и камнем.,
Leonin Armorguard,ARB,Накатльцы хорошо подготовлены благодаря своему стальному покрову и закаленным когтям.,
Lord of Extinction,ARB,"Отчаявшиеся крики умерших сливаются, образуя его смех.",
Lorescale Coatl,ARB,"«Я обнаружил, что знание, которое я так и не нашел в эфирии, оставило свой след в чешуе змеи».
—Реналус, ведалкен-отступник",
Madrush Cyclops,ARB,Смерть настигает в мгновение ока.,
Maelstrom Pulse,ARB,"Когда осколки столкнулись, нормальное течение жизни бесследно исчезло.",
Mage Slayer,ARB,"«Не важно какой меч у тебя в руках, если ты знаешь свое дело».
—Креш Кровавокосый",
Magefire Wings,ARB,"Обретение крыльев не излечивает существо от боязни летать и, если на то пошло, боязни огня.",
Marisi's Twinclaws,ARB,"«Похоже, мы в абсолютном меньшинстве».
«Тогда нам повезло. Я думал, мы заскучаем».",
Meddling Mage,ARB,«Эта разрушающая пустошь по заслугам досталась этим людям. У этих трусов нет воли противостоять беспорядку».,
