Anathemancer,Анафемант,Существо — Зомби Чародей,"Когда Анафемант входит в игру, он наносит целевому игроку повреждения, равные количеству небазовых земель, находящихся под контролем того игрока.
Откопать {5}{B}{R} #({5}{B}{R}: верните эту карту из вашего кладбища в игру. Она получает Ускорение. Удалите ее из игры в конце хода, или в случае, если она должна покинуть игру. Откапывайте только как волшебство.)#"
Architects of Will,Архитекторы Воли,Артефактное Существо — Человек Чародей,"Когда Архитекторы Воли входят в игру, посмотрите три верхние карты библиотеки целевого игрока, затем положите их обратно в любом порядке.
Цикл {UB} #({UB}, сбросьте эту карту: возьмите карту.)#"
Ardent Plea,Страстная Мольба,Чары,"Повышение #(Каждый раз, когда существо под вашим контролем атакует в одиночку, оно получает +1/+1 до конца хода.)#
Каскад #(Когда вы разыгрываете это заклинание, удаляйте карты с верха вашей библиотеки из игры до тех пор, пока вы не удалите не являющуюся землей и стоящую меньше карту. Вы можете разыграть ее без уплаты ее мана-стоимости. Положите удаленные карты в низ вашей библиотеки в cлучайном порядке.)#"
Arsenal Thresher,Вооруженный до Зубов Молотильщик,Артефактное Существо — Конструкция,"При входе Вооруженного до Зубов Молотильщика в игру вы можете показать любое количество других карт артефактов из вашей руки. Вооруженный до Зубов Молотильщик входит в игру с жетоном +1/+1 на нем за каждую карту, показанную таким образом."
Aven Mimeomancer,Крылатый Мимеомант,Существо — Птица Чародей,"Полет
В начале вашего шага поддержки вы можете положить жетон пера на целевое существо. Если вы это сделаете, то существо становится 3/1 и имеет Полет, пока на нем есть жетон пера."
Bant Sojourners,Гости из Бэнта,Существо — Человек Солдат,"Когда вы совершаете цикл Гостей из Бэнта, или когда они попадают из игры на кладбище, вы можете положить в игру одну фишку существа 1/1 белый Солдат.
Цикл {2}{W} #({2}{W}, сбросьте эту карту: возьмите карту.)#"
Bant Sureblade,Безошибочный Палач из Бэнта,Существо — Человек Солдат,"Пока вы контролируете другой многоцветный перманент, Безошибочный Палач из Бэнта получает +1/+1 и имеет Первый удар."
Behemoth Sledge,Молот Чудищ,Артефакт — Снаряжение,"Снаряженное существо получает +2/+2 и имеет Цепь жизни и Пробивной удар.
Снарядить {3}"
Bituminous Blast,Битуминозная Волна,Мгновенное заклинание,"Каскад #(Когда вы разыгрываете это заклинание, удаляйте карты с верха вашей библиотеки из игры до тех пор, пока вы не удалите не являющуюся землей и стоящую меньше карту. Вы можете разыграть ее без уплаты ее мана-стоимости. Положите удаленные карты в низ вашей библиотеки в cлучайном порядке.)#
Битуминозная Волна наносит 4 повреждения целевому существу."
Blitz Hellion,Стремительный Геллион,Существо — Геллион,"Пробивной удар, Ускорение
В конце хода владелец Стремительного Геллиона втасовывает его в свою библиотеку."
Bloodbraid Elf,Кровавокосый Эльф,Существо — Эльф Берсерк,"Ускорение
Каскад #(Когда вы разыгрываете это заклинание, удаляйте карты с верха вашей библиотеки из игры до тех пор, пока вы не удалите не являющуюся землей и стоящую меньше карту. Вы можете разыграть ее без уплаты ее мана-стоимости. Положите удаленные карты в низ вашей библиотеки в cлучайном порядке.)#"
Brainbite,Укушенный Рассудок,Волшебство,"Целевой оппонент показывает свою руку. Выберите из нее карту. Тот игрок сбрасывает ту карту.
Возьмите карту."
Breath of Malfegor,Дыхание Малфегора,Мгновенное заклинание,Дыхание Малфегора наносит 5 повреждений каждому оппоненту.
Captured Sunlight,Пойманное Солнце,Волшебство,"Каскад #(Когда вы разыгрываете это заклинание, удаляйте карты с верха вашей библиотеки из игры до тех пор, пока вы не удалите не являющуюся землей и стоящую меньше карту. Вы можете разыграть ее без уплаты ее мана-стоимости. Положите удаленные карты в низ вашей библиотеки в cлучайном порядке.)#
Вы получаете 4 жизни."
Cerodon Yearling,Годовичок Рогозуба,Существо — Зверь,"Бдительность, Ускорение"
