Architects of Will,ARB,Esta sociedad secreta de magos manipula las creencias y opiniones de otros.,
Aven Mimeomancer,ARB,"“Si el cielo es nuestro único refugio, me aseguraré que todos podamos volar.”",
Bant Sojourners,ARB,“Debemos extender la luz de Bant antes de que caigamos en sombras.”,
Bant Sureblade,ARB,"Los soldados que lucharon en Grixis aprendieron a golpear primero, recitar la plegaria de Asha después.",
Behemoth Sledge,ARB,No puedes esperar que los que adoran a las grandes gargantúas luchen con un arma sutil.,
Blitz Hellion,ARB,Los alaranos conmemoran su aparición con nuevas fiestas con nombres como el Gran Cataclismo y la Caída del Portal de Ilson.,
Brainbite,ARB,Un mago de Esper dejará un agujero en tu memoria con una precisión quirúrgica. Un mago de Grixis no ve razones para ser tan delicado.,
Breath of Malfegor,ARB,La sangre de los demonios se aceleró cuando su amo se levantó sobre el campo de batalla. La sangre de los ángeles también se aceleró: estaban frente a la oportunidad de terminar la guerra que había comenzado hace siglos.,
Cerodon Yearling,ARB,La unidad de medida para registrar el crecimiento de un cerodonte es “personas consumidas”.,
Cloven Casting,ARB,"“Huyamos a lo profundo de la selva. Nuestra ciudad ya no es un sitio seguro, y sospecho que tampoco lo será el santuario.”",
Colossal Might,ARB,"“Nunca arrincones a un bárbaro. Te conviertes en la ruta de escape más sencilla.”
—Sarkhan Vol",
Dauntless Escort,ARB,"Los escuderos de Elspeth no buscan progresar. Para ellos, ninguna gloria de ser caballeros podría ser mejor que la gloria de servir a su campeón.",
Deadshot Minotaur,ARB,“Que la tierra se levante a tu encuentro.”,
Defiler of Souls,ARB,"“No te desvíes del camino correcto, o encontrarás el portero de una tumba insaciable.”
—Plegaria de Asha",
Demonspine Whip,ARB,Usar una espina para golpear la espalda de un esclavo es la idea de ironía en Grixis.,
Double Negative,ARB,"Se temían mutuamente por sus diferencias, pero estaban absolutamente aterrorizados de sus semejanzas.",
Dragon Appeasement,ARB,"“Mira allí: llevan a uno sobre una silla. Debe ser su líder. Espera... ¡Oh! Tal vez no.”
—Kaeda, explorador aven",
Drastic Revelation,ARB,"Todo desastre contiene un misterio, por falta de un testigo cuerdo.",
Enlisted Wurm,ARB,Podría enfrentar a cualquier ejército; incluso el propio.,
Esper Sojourners,ARB,"Cuanto más salvaje la frontera, mayor la necesidad de una mano controladora.",
Esper Stormblade,ARB,Los atraetormentas aprendieron a apreciar la novedad de las corrientes volcánicas.,
Ethercaste Knight,ARB,“Nos vestimos con acero todos los días. ¿Qué es el eterium sino el siguiente paso?”,
Etherium Abomination,ARB,Recibió vida del eterium de cientos de esperianos muertos.,
Ethersworn Shieldmage,ARB,"“¿Ven, hijos del metal? Nuestros cuerpos ya están rechazando el daño. Continúen en nuestro camino, y la perfección será suya.”",
Etherwrought Page,ARB,"Una página suelta es un acertijo, libre de cubierta y de contexto, una pieza favorita de la Hegemón.",
Fight to the Death,ARB,"Cuando se hace silencio en un campo de batalla, rara vez es por un alto el fuego.",
Filigree Angel,ARB,"“Yo ansiaba la iluminación, y el eterium de Crucius abrió mis ojos. Compartiría mi visión contigo, pero primero debes creer.”",
Flurry of Wings,ARB,“Nacemos soldados. El llamado a la batalla es una bienvenida.”,
Giant Ambush Beetle,ARB,Espera con una quietud absoluta. Podrías pensar que es una estatua si no fuera visto ocasionalmente masticando sus víctimas.,
Glory of Warfare,ARB,“¡Sus esperanzas quebradas en nuestros escudos! ¡Su victoria destruida por nuestras espadas!”,
Gloryscale Viashino,ARB,"“Este es un nuevo mundo y una nueva guerra. Necesitamos guerreros que conozcan el caos y cómo combatirlo.”
—Lisha de los Azure",
Godtracker of Jund,ARB,"“Los behemots se contentan con pastar como ganado, mientras que los dragones arrasan y conquistan. Yo se qué ejemplo seguiré.”",
Gorger Wurm,ARB,"En la Alara en guerra, a veces la garganta de una sierpe es uno de los lugares más seguros para estar.",
Grizzled Leotau,ARB,"“No hay gloria en morir de viejo, como hasta un leotau sabe. En cuanto sienten el invierno bajo la piel, buscan las tierras más peligrosas, para morir como vivieron.”
—Aarsil la bendecida",
Identity Crisis,ARB,"“Para unirse a nuestras filas, debes ser puro. Para ser puro, debes estar bendecido con eterium. Para ser bendecido, debes abandonarte a ti mismo.”
—Plegaria de los etereados",
