Architects of Will,ARB,操弄他人信念与意见的秘密法师组织。,
Aven Mimeomancer,ARB,「若天空是唯一的避难所，我将看见大家振翅高飞。」,
Bant Sojourners,ARB,「在被暗影遮蔽之前，我们必须让班特的明光普照大地。」,
Bant Sureblade,ARB,与格利极打过仗的士兵都知道：该先出手攻击，晚些才引述亚莎的祷文。,
Behemoth Sledge,ARB,崇敬巨兽者不太可能会使用飘忽不定的武器。,
Blitz Hellion,ARB,他每次现身，阿拉若人便会订定新的假日来纪念这日子；名称通常会是天翻地覆之日、伊森门陷落日之类的。,
Brainbite,ARB,艾斯波法师能在你的记忆中精准地打出个洞。 格利极法师则不认为有必要如此好心。,
Breath of Malfegor,ARB,恶魔主子在战场现身，使恶魔血液为之加速流动。 天使的血液也因此加速：千年前展开的大战终于有机会真正结束了。,
Cerodon Yearling,ARB,用来描述角牙兽成长程度的测量单位是「吃过几个人」。,
Cloven Casting,ARB,「快逃到丛林深处。 我们的城市不再安全～我猜想掉头撤军也不是好办法。」,
Colossal Might,ARB,"「千万不能将狂战士逼入绝境。 你会成为最容易突破的出路。」
～萨坎•沃",
Dauntless Escort,ARB,艾紫培的扈从并不希求升职。 对他们来说，能够服侍这位斗士便已是无可取代的骑士荣誉。,
Deadshot Minotaur,ARB,「愿大地起身迎接你。」,
Defiler of Souls,ARB,"「别沾染罪恶，好让你不用面对贪婪墓穴的看门人。」
～亚莎祷文",
Demonspine Whip,ARB,用脊柱来打断奴隶的背，很符合格利极的荒谬感。,
Double Negative,ARB,他们为彼此的差异而互相恐惧，但更被彼此的相似而给彻底吓坏。,
Dragon Appeasement,ARB,"「瞧瞧那边～有个是给轿子载着。 那一定是他们的领袖。 等等...噢！ 似乎不是。」
～艾文斥候凯达",
Drastic Revelation,ARB,每场灾难都藏有秘密，因为没能留下神智无损的见证人。,
Enlisted Wurm,ARB,任何军队的好对手～包括自己这一边。,
Esper Sojourners,ARB,边境越缺乏秩序，对操控之手的需求也就越高。,
Esper Stormblade,ARB,唤雷师已懂得利用勇得新奇的火山上升气流。,
Ethercaste Knight,ARB,「我们每天都把全身包满金属。 乙金化算是很合理的发展吧？」,
Etherium Abomination,ARB,赋予它生命的乙金来自百位被杀的艾斯波人。,
Ethersworn Shieldmage,ARB,「看到没，金属之子？ 你的身体已不受伤害所苦。 继续追寻此道，你将能成就完美。」,
Etherwrought Page,ARB,脱落的书页没有封面与上下文，这种谜题正是支配者最爱之物。,
Fight to the Death,ARB,若战场归于沉寂，其因通常不是停火。,
Filigree Angel,ARB,「我渴求启示，而克鲁修的乙金令我大开眼界。 我将与你分享我的领悟，但你必须先得相信。」,
Flurry of Wings,ARB,「我们天生就是士兵。 战争号角是我们的返乡令。」,
Giant Ambush Beetle,ARB,他文风不动地等着。 如果没偶尔给撞见正在嚼食遭袭者，人们会以为他是座雕像。,
Glory of Warfare,ARB,「用盾牌击碎他们的希望！ 以利剑斩断他们的胜利！」,
Gloryscale Viashino,ARB,"「这是新的世界与新的战争。 我们需要了解混沌与知道如何对抗的战士。」
～碧蓝莉莎",
Godtracker of Jund,ARB,「贝西摩斯会如牛一般安分吃草，而巨龙则含怒四出征讨。 我知道该以何者为榜样。」,
Gorger Wurm,ARB,在战火四起的阿拉若，有时亚龙的咽喉反而是最安全的地方。,
Grizzled Leotau,ARB,"「衰老而亡并不光荣，连座狮都晓得此道理。 当冬意渗入其皮毛，他们会找寻最危险的地方，好在该处以一生的勇猛来迎接死亡。」
～蒙福爱尔希",
