1996 World Champion,CC,Il faut beaucoup de sacrifice pour arriver au sommet.,, 
A Display of My Dark Power,ARS,« Quel est ma plus grande qualité ? Est-ce mon appétit féroce pour le pouvoir ? »,,
Abandon Hope,TE,"Tandis que la silhouette de Gerrard disparaissait, avalée par la forêt, Hanna, en silence, se lamentait sur son rêve brisé.",,
Abattoir Ghoul,DDQ,La mort lui ravit son humanité mais pas son talent au couteau.,,
Abattoir Ghoul,ISD,La mort lui ravit son humanité mais pas son talent au couteau.,,
Abbey Gargoyles,5E,"« Elles ne bougent pas, n'est-ce-pas ? »
« Uniquement si vous êtes les mauvaises personnes. »
« Et sommes-nous les mauvaises personnes ? »",,
Abbey Gargoyles,HL,"« Bien que Serra ait disparu depuis vingt ans, ses gargouilles surveillent toujours notre cité et pourchassent les coupables. »
—Gulsen, Mère abbesse.",,
Abbey Gargoyles,ME2,"« Bien que Serra ait disparu depuis vingt ans, ses gargouilles surveillent toujours notre cité et pourchassent les coupables. »
—Gulsen, Mère abbesse.",,
Abbey Griffin,ISD,"« Les ténèbres grouillent de vampires et de goules, mais nous ne sommes pas sans alliés. »
—Mikaeus, le lunarque",,
Abbey Matron,HL,"« Les Mères continuent à dire que Serra reviendra. Je doute qu'elle ait jamais existé. »
—Murat, psychpompe",1,
Abbey Matron,HL,"« Les Mères continuent à dire que Serra reviendra. Je doute qu'elle ait jamais existé. »
—Murat, psychpompe",2,
Abbey Matron,HL,"« Les Mères continuent à dire que Serra reviendra. Je doute qu'elle ait jamais existé. »
—Murat, psychpompe",3,
Abbot of Keral Keep,PRE,,,
Aberrant Researcher,SOI,"« La métamorphose est un processus. »
—Notes de laboratoire
-----
Les dernières pages du journal de recherche étaient blanches. Les enquêteurs l'ont trouvé ouvert sur un bureau du laboratoire, les pages battues par le vent qui s'infiltrait par une vitre brisée.",,
Abeyance,WL,"« Je suis magicien bien trop modeste pour révéler d'emblée l'immense étendue de mes capacités. »
—Ertaï, expert sorcier.",,
Abjure,WL,"Les poils de Miri se hérissaient au fur et à mesure qu'Ertaï exposait ses mérites. « Si ce crétin arrogant ne se tait pas bientôt, grognait-elle à voix basse, je vais devoir le tuer. »",,
Abolish,DDF,"Quand la guerre fit rage, les jeunes mages commencèrent à employer des tactiques moins subtiles et plus coûteuses.",,
Abolish,EVT,"Quand la guerre fit rage, les jeunes mages commencèrent à employer des tactiques moins subtiles et plus coûteuses.",,
Abolish,PY,"Quand la guerre fit rage, les jeunes mages commencèrent à employer des tactiques moins subtiles et plus coûteuses.",,
Aboroth,WL,"Tel une bête colossale, L'Aquilon s'inclina fortement pour écraser le cavalier solitaire.
« Parions sur le sable », déclara Gerrard d'une voix neutre.",,
"Aboshan, Cephalid Emperor",OD,« On ne peut se battre sans arrêt contre la marée. »,,
About Face,UL,Les plus présomptueux sont les plus vulnérables.,,
Abrupt Decay,RTR,Les Izzet réagirent en mettant un terme abrupt à leur système d'assurances à vie.,,
Abrupt Decay,WMC,Les Izzet réagirent en mettant un terme abrupt à leur système d'assurances à vie.,,
Absolute Grace,US,"Pourchassant Urza, les phyrexians envoyèrent d'innombrables légions flétries dans le royaume de Serra. Bien qu'elles aient été repoussées, elles le laissèrent corrompu par un mal qui jamais ne pourrait s'effacer.",,
Absolute Law,US,La force de la loi est sa rigidité. C'est une barre de fer dans un monde d'eau.,,
Absorb,IN,« Votre présomption entraînera votre chute. »,,
Abuna Acolyte,SOM,« Vous ne pouvez rien briser que je ne puisse réparer. »,,
Abyssal Gatekeeper,ADVD,"« Il y a deux façons pour moi de passer cette porte. L'une d'entre elles te laisserait conscient. »
—Gerrard, de l'Aquilon.",,
Abyssal Gatekeeper,DD3,"« Il y a deux façons pour moi de passer cette porte. L'une d'entre elles te laisserait conscient. »
—Gerrard, de l'Aquilon.",,
Abyssal Gatekeeper,DDC,"« Il y a deux façons pour moi de passer cette porte. L'une d'entre elles te laisserait conscient. »
—Gerrard, de l'Aquilon.",,
Abyssal Gatekeeper,DVD,"« Il y a deux façons pour moi de passer cette porte. L'une d'entre elles te laisserait conscient. »
—Gerrard, de l'Aquilon.",,
Abyssal Gatekeeper,WL,"« Il y a deux façons pour moi de passer cette porte. L'une d'entre elles te laisserait conscient. »
—Gerrard, de l'Aquilon.",,
Abyssal Horror,7E,"« J'ai rêvé d'elle encore. Et j'ai peur qu'elle rêve de moi. »
—Un érudit tolarian.",,
Abyssal Horror,US,Elle n'a pas de visage. Elle prend pour masque celui de sa dernière victime.,,
Abyssal Hunter,6E,"Certains sourires sont éclatant, d'autres montrent à peine leurs dents.",,
Abyssal Hunter,MI,"Certains sourires sont éclatants, d'autres montrent à peine leurs dents.",,
Abyssal Nocturnus,GP,"« Je refuse de garder l'esprit ouvert, de peur que certains en profitent pour s'introduire dans mon âme. »
—Voka Schlak,
patient à l'asile de Mauzam, journal",,
Abyssal Persecutor,C14,Ses esclaves préfèrent la mort à la liberté. Il leur refuse les deux.,,
Abyssal Persecutor,WWK,Ses esclaves préfèrent la mort à la liberté. Il leur refuse les deux.,,
Abyssal Specter,5E,"« Quel est ce tourbillon spectral qui se déchaine? »
—Leconte de Lisle, Poèmes tragiques.",,
Abyssal Specter,7E,"« Quel est ce tourbillon spectral qui se déchaîne ? »
—Leconte de Lisle, Poèmes tragiques.",,
Abyssal Specter,8E,"« Quel est ce tourbillon spectral qui se déchaîne ? »
—Leconte de Lisle, Poèmes tragiques.",,
Abyssal Specter,ADVD,"« Quel est ce tourbillon spectral qui se déchaîne ? »
—Leconte de Lisle, Poèmes tragiques.",,
Abyssal Specter,BR,"« Quel est ce tourbillon spectral qui se déchaine? »
—Leconte de Lisle, Poèmes tragiques.",,
Abyssal Specter,DD3,"« Quel est ce tourbillon spectral qui se déchaine? »
—Leconte de Lisle, Poèmes tragiques.",,
Abyssal Specter,DDC,"« Quel est ce tourbillon spectral qui se déchaine? »
—Leconte de Lisle, Poèmes tragiques.",,
Abyssal Specter,DM,"« Quel est ce tourbillon spectral qui se déchaine? »
—Leconte de Lisle, Poèmes tragiques.",,
Abyssal Specter,DPA,"« Quel est ce tourbillon spectral qui se déchaîne ? »
—Leconte de Lisle, Poèmes tragiques.",,
Abyssal Specter,DVD,"« Quel est ce tourbillon spectral qui se déchaîne ? »
—Leconte de Lisle, Poèmes tragiques.",,
Abyssal Specter,IA,"« Ouvrez les portes, et priez-les d'entrer. »
—Lim-Dûl, le Nécromancien.",,
Abzan Advantage,FRF,"« Pour survivre, il faut faire feu de tout bois. »
—Daghatar l'Inflexible",,
Abzan Banner,KTK,"La pierre pour la longévité, les racines pour la mémoire.",,
Abzan Battle Priest,KTK,"« Où que j'aille, mes ancêtres m'accompagnent. »",,
Abzan Beastmaster,FNM,Ses bêtes déplacent les immenses tours de siège des Abzans sur les étendues de sable infinies.,,
Abzan Beastmaster,FRF,Ses bêtes déplacent les immenses tours de siège des Abzans sur les étendues de sable infinies.,,
Abzan Falconer,KTK,Le moyen le plus rapide de traverser les dunes reste encore de les survoler.,,
Abzan Guide,KTK,"« Ces routes sont changeantes et désolées. Suivez-moi, ou vous mourrez dans les landes. »",,
Abzan Kin-Guard,FRF,"« Les Mardu courent tout droit vers l'extinction. Nous assurons la pérennité de notre clan en protégeant notre territoire, pas en le saccageant. »",,
Abzan Skycaptain,FRF,« Une tempête approche. Faites face au vent ! »,,
Academy Researchers,10E,Ils agitent leurs nouvelles théories comme des guerriers brandiraient leurs armes.,,
Academy Ruins,MMA,"Ses secrets furent à l'origine d'un des plus grands artifices jamais connus. Désormais, les crabes se servent des gravats pour décorer leur carapace.",,
Academy Ruins,TSP,"Ses secrets furent à l'origine d'un des plus grands artifices jamais connus. Désormais, les crabes se servent des gravats pour décorer leur carapace.",,
Accelerate,TO,"« J'ai vu des éclairs aller moins vite. »
—Une sentinelle nomade",,
Accelerated Mutation,SC,"Sa nourriture se fit plus rare, mais son estomac se fit plus gros.",,
Accorder Paladin,MBS,"« Je me bats pour les soleils, pour la surface, et tout ce qui se trouve entre eux. »",,
Accorder's Shield,M14,"Pour permettre à son porteur d'observer l'ennemi à la fois devant et derrière lui, un bouclier auriok est toujours poli comme un miroir.",,
Accorder's Shield,SOM,"Pour permettre à son porteur d'observer l'ennemi à la fois devant et derrière lui, un bouclier auriok est toujours poli comme un miroir.",,
Accumulated Knowledge,DDO,"« J'ai vu et entendu beaucoup de choses ice. Il y a des secrets derrière les secrets. Laissez-moi vous les montrer. »
—Takara, à Éladämri.",,
Accumulated Knowledge,EVK,"« J'ai vu et entendu beaucoup de choses ice. Il y a des secrets derrière les secrets. Laissez-moi vous les montrer. »
—Takara, à Éladämri.",,
Accumulated Knowledge,FNM,"« J'ai vu et entendu beaucoup de choses ice. Il y a des secrets derrière les secrets. Laissez-moi vous les montrer. »
—Takara, à Éladämri.",,
Accumulated Knowledge,NE,"« J'ai vu et entendu beaucoup de choses ice. Il y a des secrets derrière les secrets. Laissez-moi vous les montrer. »
—Takara, à Éladämri.",,
Accursed Centaur,ON,"« La Coterie se moque de l'ordre naturel. Pour elle, la mort n'est qu'un bref répit entre deux tâches à accomplir. »
—Kamahl, acolyte druide",,
Accursed Spirit,M14,Nombreux sont ceux à avoir entendu le raclement ténu de son armure ou le gargouillis de sa voix. Mais seules ses victimes croisent son regard glacial.,,
Accursed Spirit,M15,Nombreux sont ceux à avoir entendu le raclement ténu de son armure ou le gargouillis de sa voix. Mais seules ses victimes croisent son regard glacial.,,
Acid Web Spider,SOM,"Pour les plus téméraires ou les plus stupides, sa toile est une excellente source de cuivre.",,
Acidic Sliver,H09,"Le premier slivoïde explosa contre le mur de la caverne, les autres se ruèrent sur l'impact pour agrandir le nouveau tunnel.",,
Acidic Sliver,SH,"Le premier slivoïde explosa contre le mur de la caverne, les autres se ruèrent sur l'impact pour agrandir le nouveau tunnel.",,
Acidic Sliver,SLI,"Le premier slivoïde explosa contre le mur de la caverne, les autres se ruèrent sur l'impact pour agrandir le nouveau tunnel.",,
Acidic Sliver,TPR,"Le premier slivoïde explosa contre le mur de la caverne, les autres se ruèrent sur l'impact pour agrandir le nouveau tunnel.",,
