Architects of Will,ARB,Questa società segreta di incantatori manipola le opinioni e le credenze altrui.,
Aven Mimeomancer,ARB,"“Se i cieli sono la nostra unica possibilità di salvezza, farò in modo che a tutti noi spuntino le ali.”",
Bant Sojourners,ARB,“Dobbiamo diffondere la luce di Bant prima che l’oscurità ci sommerga.”,
Bant Sureblade,ARB,I soldati che hanno combattuto in Grixis hanno imparato a colpire prima e a recitare le preghiere di Asha poi.,
Behemoth Sledge,ARB,Difficilmente ci si aspetta che coloro che venerano enormi mastodonti possano combattere con armi sottili e leggere.,
Blitz Hellion,ARB,"Gli abitanti di Alara commemorarono le sue apparizioni creando nuove festività, come il Grande Cataclisma o la Caduta del Cancello di Ilson.",
Brainbite,ARB,I maghi di Esper lasciano buchi nella memoria con precisione chirurgica. I maghi di Grixis non vedono alcun motivo per essere così gentili.,
Breath of Malfegor,ARB,"Il battito cardiaco dei demoni accelerò rapidamente quando il loro padrone giunse sul campo di battaglia. Anche il battito degli angeli accelerò: avrebbero avuto, infatti, la possibilità di porre fine a una guerra iniziata migliaia di anni fa.",
Cerodon Yearling,ARB,L’unità di misura usata per la crescita del cornodonte è espressa in “persone divorate”.,
Cloven Casting,ARB,“Scappiamo nella giungla più profonda. La nostra città non è più sicura... e sospetto non lo sia neppure il rifugio di riserva.”,
Colossal Might,ARB,"“Non inchiodare mai un barbaro in un angolo. Diverresti la via di fuga che oppone meno resistenza.”
—Sarkhan Vol",
Dauntless Escort,ARB,"Gli scudieri di Elspeth non desiderano acquisire un potere maggiore. Per essi, nessuna gloria cavalleresca potrà mai superare l’onore di servire il loro campione.",
Deadshot Minotaur,ARB,“Possa la terra alzarsi per incontrarti.”,
Defiler of Souls,ARB,"“Non vagare nel peccato, o finirai per incontrare il guardiano di una tomba insaziabile.”
—Preghiera di Asha",
Demonspine Whip,ARB,Utilizzare una spina dorsale per rompere la schiena di uno schiavo è un chiaro esempio dell’umorismo di Grixis.,
Double Negative,ARB,"Si temevano l’un l’altro per le loro diversità, ma erano ancor più terrorizzati dalle loro somiglianze.",
Dragon Appeasement,ARB,"“Guarda laggiù; lo stanno trasportando su una portantina. Deve trattarsi del loro capo. Aspetta però... oh! Direi di no.”
—Kaeda, esploratore aviano",
Drastic Revelation,ARB,"Ogni disastro nasconde un mistero, vista l’assenza di un possibile testimone.",
Enlisted Wurm,ARB,Una sfida per qualsiasi armata. Compresa la sua.,
Esper Sojourners,ARB,"Più selvaggi sono i confini, maggiore è il bisogno di un’autorità che li controlli.",
Esper Stormblade,ARB,I placatempeste finirono per apprezzare la novità costituita dagli sbuffi vulcanici di Jund.,
Ethercaste Knight,ARB,“Ci ricopriamo d’acciaio ogni giorno. Che cos’è l’eterium se non la nostra evoluzione più logica?”,
Etherium Abomination,ARB,Ha preso vita dall’eterium di centinaia di Esperiti uccisi.,
Ethersworn Shieldmage,ARB,"“Vedete, figli del metallo? I vostri corpi stanno già respingendo il dolore. Continuate sulla nostra strada e la perfezione sarà vostra.”",
Etherwrought Page,ARB,"Una pagina strappata è un enigma privo di immagini e di contesto, uno dei simboli preferiti dell’egemone.",
Fight to the Death,ARB,"Quando cala il silenzio sul campo di battaglia, difficilmente la causa è un “cessate il fuoco”.",
Filigree Angel,ARB,"“Desideravo un’illuminazione e l’eterium di Crucius mi ha aperto gli occhi. Condividerei la mia vista con voi, ma prima dovrete credere.”",
