Architects of Will,ARB,Dieser magische Geheimbund manipuliert den Glauben und die Meinungen von anderen.,
Aven Mimeomancer,ARB,"„Wenn der Himmel unsere einzige Zuflucht ist, muss ich euch das Fliegen beibringen.”",
Bant Sojourners,ARB,"„Wir müssen das Licht Bants verbreiten, bevor Schatten darüber fallen.”",
Bant Sureblade,ARB,"Soldaten,die in Grixis kämpften, lernten schnell, erst zu kämpfen und später das Gebet an Asha aufzusagen.",
Behemoth Sledge,ARB,"Man kann von denen, die riesige Gargantuas verehren, wohl kaum erwarten, mit feinen Klingen zu kämpfen.",
Blitz Hellion,ARB,Die Bewohner Alaras gedachten seinem Erscheinen mit neuen Feiertagen mit Namen wie „die große Verheerung“ oder „der Fall des Ilson-Tors”.,
Brainbite,ARB,"Ein Magier aus Esper wird mit chirurgischer Genauigkeit ein Loch in deinem Gedächtnis hinterlassen. Ein Magier aus Grixis hält nichts davon, so nett zu sein.",
Breath of Malfegor,ARB,"Der Puls der Dämonen beschleunigte sich, als sich ihr Meister über dem Schlachtfeld erhob. Der Puls der Engel beschleunigte sich ebenfalls: Hier ergab sich die Gelegenheit, endlich den Krieg zu beenden, der vor Jahrtausenden begann.",
Cerodon Yearling,ARB,"Die Maßeinheit, in der das Wachstum der Cerodons gemessen wird, ist „gefressene Personen”.",
Cloven Casting,ARB,„Lass uns tief in den Dschungel flüchten. Unsere Stadt ist nicht mehr sicher – und wahrscheinlich unser Rückzugsort auch nicht.”,
Colossal Might,ARB,"„Dränge nie einen Barbaren in die Ecke. Du wirst zum Weg des geringsten Widerstands.”
—Sarkhan Vol",
Dauntless Escort,ARB,"Elspeths Junker gieren nicht nach Beförderung. Für sie ist es bereits der höchste Ruhm, ihrem Champion dienen zu dürfen.",
Deadshot Minotaur,ARB,"„Möge sich die Erde erheben, um dich zu treffen.”",
Defiler of Souls,ARB,"„Verfalle nicht der Sünde, damit du nicht dem Wächter der unersättlichen Gruft gegenübertreten musst.”
—Ashas Gebet",
Demonspine Whip,ARB,"Es passt zum Ironieverständnis in Grixis, mit einer Wirbelsäule den Rücken von Sklaven zu brechen.",
Double Negative,ARB,Sie fürchteten sich vor ihren Unterschieden und erschraken über ihre Ähnlichkeit.,
Dragon Appeasement,ARB,"„Schau mal, sie tragen dort jemanden auf einem gepolsterten Stuhl. Das wird wohl der Anführer sein. Warte ... oh! Wohl doch nicht.”
—Kaeda, Avior-Späher",
Drastic Revelation,ARB,"Jedes Desaster wird von Geheimnissen umgeben, da es selten Zeugen gibt, die ihren Verstand nicht verloren haben.",
Enlisted Wurm,ARB,Ein Gegner für eine ganze Armee – auch für die eigene.,
Esper Sojourners,ARB,"Je wilder das Grenzland, desto notwendiger eine ordnende Hand.",
Esper Stormblade,ARB,Sturmrufer lernten die vulkanischen Aufwinde von Jund sehr zu schätzen.,
Ethercaste Knight,ARB,„Wir hüllen uns jeden Tag in Stahl ein. Ätherium ist da doch nur der nächste logische Schritt.”,
Etherium Abomination,ARB,Sie erhielt ihr Leben aus dem Ätherium von hundert erschlagenen Esperern.,
Ethersworn Shieldmage,ARB,"„Seht ihr, Kinder des Metalls: Eure Körper weisen jetzt schon den Schaden ab. Macht weiter so, und ihr werdet perfekte Wesen werden.”",
Etherwrought Page,ARB,Eine ungebundene Seite ist ein Rätsel ohne Kontext und ohne Einbindung: ein Lieblingsobjekt des Hegemon.,
Fight to the Death,ARB,"Wenn es auf einem Schlachtfeld still wird, dann liegt das nur selten an einer Waffenruhe.",
Filigree Angel,ARB,"„Es dürstete mich nach Erleuchtung, und Crucius’ Ätherium öffnete mir die Augen. Ich würde meine Erkenntnis mit dir teilen, doch noch fehlt dir der Glaube.”",
Flurry of Wings,ARB,„Wir sind geborene Soldaten. Der Ruf zur Schlacht ist wie ein Heimkommen.”,
Giant Ambush Beetle,ARB,"Er wartet in ruhiger Starre. Man könnte denken, er sei eine Statue, wenn man ihn nicht gelegentlich an Opfern kauen sehen würde.",
