Anathemancer,呪詛術士,クリーチャー ― ゾンビ・ウィザード,"呪詛術士が場に出たとき、プレイヤー１人を対象とする。呪詛術士はそのプレイヤーに、そのプレイヤーがコントロールする基本でない土地の総数に等しい点数のダメージを与える。
蘇生 {5}{B}{R} #({5}{B}{R}：このカードをあなたの墓地から場に戻す。 それは速攻を得る。 ターン終了時かそれが場を離れる場合にそれをゲームから取り除く。 蘇生はソーサリーとしてのみ行う。）"
Architects of Will,意思切る者,アーティファクト・クリーチャー ― 人間・ウィザード,"意思切る者が場に出たとき、プレイヤー１人を対象とする。そのプレイヤーのライブラリーの一番上から３枚のカードを見て、その後それらを望む順番で戻す。
サイクリング {UB} （{UB}, このカードを捨てる：カードを１枚引く。）"
Ardent Plea,献身的な嘆願,エンチャント,"賛美 （あなたがコントロールするいずれかのクリーチャーが単独で攻撃するたび、そのクリーチャーはターン終了時まで＋１/＋１の修整を受ける。）
続唱 （あなたがこの呪文をプレイしたとき、あなたのライブラリーの一番上のカードを、コストがより低い土地でないカードが取り除かれるまでゲームから取り除く。 あなたはそれをそのマナ・コストを支払うことなくプレイしてもよい。 その取り除いたカードを、無作為の順番で一番下に置く。）"
Arsenal Thresher,武器庫を打つもの,アーティファクト・クリーチャー ― 構築物,武器庫を打つものが場に出るに際し、あなたはあなたの手札の他のアーティファクト・カードを望む枚数公開してもよい。 武器庫を打つものは、これにより公開したカード１枚につき＋１/＋１カウンターが１個置かれた状態で場に出る。
Aven Mimeomancer,エイヴンの擬態術士,クリーチャー ― 鳥・ウィザード,"飛行
あなたのアップキープの開始時に、クリーチャー１体を対象とする。あなたはそれの上に羽根カウンターを１個置いてもよい。 そうした場合、それの上に羽根カウンターが置かれているかぎり、そのクリーチャーは３/１で飛行を持つ。"
Bant Sojourners,バントの滞留者,クリーチャー ― 人間・兵士,"あなたがバントの滞留者をサイクリングしたか、それが場からいずれかの墓地に置かれたとき、あなたは白の１/１の兵士・クリーチャー・トークンを１体場に出してもよい。
サイクリング {2}{W} （{2}{W}, このカードを捨てる：カードを１枚引く。）"
Bant Sureblade,バントの信刃,クリーチャー ― 人間・兵士,あなたが他の多色のパーマネントをコントロールしているかぎり、バントの信刃は＋１/＋１の修整を受けるとともに先制攻撃を持つ。
Behemoth Sledge,ビヒモスの大鎚,アーティファクト ― 装備品,装備しているクリーチャーは＋２/＋２の修整を受けるとともに絆魂とトランプルを持つ。装備 {3}
Bituminous Blast,瀝青破,インスタント,"続唱 （あなたがこの呪文を唱えたとき、あなたのライブラリーの一番上のカードを、コストがより低い土地でないカードが追放されるまで追放する。 あなたはそれをそのマナ・コストを支払うことなく唱えてもよい。その追放したカードを、無作為の順番で一番下に置く。）
クリーチャー１体を対象とする。瀝青破はそれに4点のダメージを与える。"
Blitz Hellion,襲撃の乱暴者,クリーチャー ― ヘリオン,"トランプル、速攻
ターン終了時に、襲撃の乱暴者をオーナーのライブラリーに加えて切り直す。"
